id,keyword,location,text
0,,,Just happened a terrible car crash
2,,,"Heard about #earthquake is different cities, stay safe everyone."
3,,,"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all"
9,,,Apocalypse lighting. #Spokane #wildfires
11,,,Typhoon Soudelor kills 28 in China and Taiwan
12,,,We're shaking...It's an earthquake
21,,,"They'd probably still show more life than Arsenal did yesterday, eh? EH?"
22,,,Hey! How are you?
27,,,What a nice hat?
29,,,Fuck off!
30,,,No I don't like cold!
35,,,NOOOOOOOOO! Don't do that!
42,,,No don't tell me that!
43,,,What if?!
45,,,Awesome!
46,ablaze,London,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU
47,ablaze,Niall's place | SAF 12 SQUAD |,@sunkxssedharry will you wear shorts for race ablaze ?
51,ablaze,NIGERIA,#PreviouslyOnDoyinTv: Toke MakinwaÛªs marriage crisis sets Nigerian Twitter ablaze... http://t.co/CMghxBa2XI
58,ablaze,Live On Webcam,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw
60,ablaze,"Los Angeles, Califnordia","PSA: IÛªm splitting my personalities.

?? techies follow @ablaze_co
?? Burners follow @ablaze"
